Phylostratum (ps),Protein_ID,Locus_tag,UniProt,T_LC,T_6H,T_12H,T_1D,T_2D,T_3D,T_5D,T_7D,T_14D,T_1M,T_2M,P_LC,P_12H,P_1D,P_2D,P_7D
1,AQZ88929.1,B4U62_00110,A0A164TAS9,4.71e-05,3e-06,3.92e-06,2.53e-06,0.000155122,0.000429599,0.000450834,0.000429641,0.000415755,0.00011147,2.88e-05,1.45e-06,0.000126163,0.000202751,0.000875184,0.00594177
1,AQZ88930.1,B4U62_00115,P37532,9.08e-05,1.2e-05,1.17e-05,6.3e-06,7.21e-05,0.000157258,0.000115083,0.00011563,0.000133895,0.000156237,0.00011893,NA,NA,NA,NA,NA
1,AQZ88931.1,B4U62_00120,P21335,8.85e-06,5.97e-05,2.89e-05,3.76e-05,4.63e-05,4.02e-05,4.01e-05,3.79e-05,4.11e-05,1.85e-05,4.51e-06,NA,NA,NA,NA,NA
1,AQZ88932.1,B4U62_00130,P09122,2.97e-05,9.64e-05,5.52e-05,6.1e-05,6.12e-05,6.68e-05,7.1e-05,6.01e-05,6.53e-05,3.33e-05,7.7e-06,7.74e-05,2.94e-06,7.01e-06,2.36e-06,8.24e-07
1,AQZ88934.1,B4U62_00140,P24277,2.9e-05,7.78e-05,4.14e-05,3.83e-05,5.12e-05,6.29e-05,6.91e-05,5.18e-05,3.95e-05,2.09e-05,7.14e-06,1.7e-05,1.31e-06,0,9.12e-06,7.3e-06
1,AQZ88940.1,B4U62_00195,P37536,0.000144318,9.47e-05,5.58e-05,7.68e-05,7.54e-05,6.94e-05,6.39e-05,6.61e-05,5.6e-05,4.47e-05,1.85e-05,1.04e-05,3.84e-06,3.72e-06,1.77e-06,5.53e-06
1,AQZ88941.1,B4U62_00200,P37537,6.89e-05,5.14e-05,3.13e-05,3.27e-05,5.55e-05,6.17e-05,6.86e-05,6.53e-05,6.72e-05,9e-05,5.55e-05,5.65e-05,7.15e-07,5.51e-06,6.72e-05,0
1,AQZ88944.1,B4U62_00215,P37540,5.81e-05,0.000127294,9.89e-05,9.32e-05,0.000112249,0.00010712,9.85e-05,0.000102845,9.61e-05,0.0001156,4.84e-05,1.8e-05,2.43e-06,1.31e-06,1.84e-05,1.11e-06
1,AQZ88945.1,B4U62_00220,P37541,0.000120617,0.000185616,0.000115919,0.000117127,0.0001276,0.000115003,0.000114139,0.000118245,0.000125412,0.00011575,3.19e-05,0.000165177,1.34e-05,2.81e-06,1.21e-05,1.15e-06
1,AQZ88947.1,B4U62_00230,P37543,1.75e-05,3.05e-05,1.37e-05,1.59e-05,1.71e-05,1.36e-05,1.78e-05,1.69e-05,1.08e-05,9.8e-06,3.28e-06,2.24e-05,2.54e-06,8.78e-07,2.37e-07,2.47e-07
